index,project_name,address,floor_area_sqm,type_of_land,contract_date,property_type,tenure,completion_date,type_of_sale,postal_district,postal_sector,postal_code,region,area,month,latitude,longitude,floor_num,unit_num,price
4282,WING FONG MANSIONS,12 Lorong 14 Geylang  #06-11 ,89,Strata,13-Sep-2017,Apartment,Freehold,1997,Resale,14,39,398924,Central Region,Geylang,2017-9,1.3102753926200001,103.87907156700001,6.0,11.0,952023.2
4283,GRAMERCY PARK,57 Grange Road  #03-04 ,175,Strata,13-Sep-2017,Condominium,Freehold,2016,Resale,10,24,249569,Central Region,Tanglin,2017-9,1.2983710257899999,103.82642846,3.0,4.0,2390423.5
4284,FRANKEL ESTATE,20 Ettrick Terrace ,378,Land,13-Sep-2017,Detached House,Freehold,1996,Resale,15,45,458583,East Region,Bedok,2017-9,1.3130292072499998,103.865898554,,,3103811.5
4285,CLIFTEN,48 Ewe Boon Road  #14-02 ,99,Strata,13-Sep-2017,Apartment,Freehold,2006,Resale,10,25,259342,Central Region,Tanglin,2017-9,1.31772907668,103.82915303,14.0,2.0,1537954.6
4286,THE METROPOLITAN CONDOMINIUM,8 Alexandra View  #10-08 ,161,Strata,13-Sep-2017,Condominium,99 Yrs From 17/02/2006,2009,Resale,3,15,158747,Central Region,Bukit Merah,2017-9,1.29047734229,103.81601645100001,10.0,8.0,2020155.0
4287,ARDMORE THREE,3 Ardmore Park  #32-03 ,162,Strata,13-Sep-2017,Condominium,Freehold,2014,Resale,10,25,259950,Central Region,Newton,2017-9,1.3083790659399999,103.828547775,32.0,3.0,2368113.2
4288,HILLTOP GROVE,134B Hillview Avenue  #09-06 ,295,Strata,13-Sep-2017,Condominium,99 Yrs From 12/06/1996,2001,Resale,23,66,669621,West Region,Bukit Batok,2017-9,1.35714498055,103.758294298,9.0,6.0,2322140.5
4289,N.A.,77 Hua Guan Avenue ,371,Land,13-Sep-2017,Semi-Detached House,999 Yrs From 07/05/1879,2011,Resale,21,58,589173,Central Region,Bukit Timah,2017-9,1.34295222,103.785313047,,,3099617.8
4290,PANDAN VALLEY,3 Pandan Valley  #07-304A ,155,Strata,13-Sep-2017,Condominium,Freehold,1978,Resale,21,59,597627,Central Region,Bukit Timah,2017-9,1.31994240676,103.77954841100001,7.0,304.0,1462121.6
4291,LANDRIDGE CONDOMINIUM,202 Pasir Panjang Road  #04-13 ,176,Strata,13-Sep-2017,Condominium,Freehold,1993,Resale,5,11,118572,Central Region,Queenstown,2017-9,1.27909728091,103.78714220299999,4.0,13.0,1727311.2
4292,CHESTERVALE,33 Bangkit Road  #03-03 ,117,Strata,13-Sep-2017,Executive Condominium,99 Yrs From 17/03/1997,1999,Resale,23,67,679974,West Region,Bukit Panjang,2017-9,1.3781507466999998,103.774498778,3.0,3.0,854472.7
4293,THE STELLAR,6 West Coast Road  #01-02 ,123,Strata,13-Sep-2017,Condominium,Freehold,2008,Resale,5,12,126824,West Region,Clementi,2017-9,1.29327652037,103.76778193,1.0,2.0,1504832.8
4294,THE PARC CONDOMINIUM,1 West Coast Walk  #06-02 ,113,Strata,13-Sep-2017,Condominium,Freehold,2010,Resale,5,12,127158,West Region,Clementi,2017-9,1.309639924,103.76094632700001,6.0,2.0,1230127.6
4295,SINGA HILLS,33 Jalan Singa  #05-01 ,75,Strata,13-Sep-2017,Apartment,Freehold,2016,Resale,14,41,418109,East Region,Bedok,2017-9,1.33017238893,103.90832066899999,5.0,1.0,868096.5
4296,THE MINT RESIDENCES,178 Joo Chiat Terrace  #05-02 ,179,Strata,13-Sep-2017,Apartment,Freehold,2009,Resale,15,42,427324,Central Region,Geylang,2017-9,1.31486633952,103.904904095,5.0,2.0,1869315.0
4297,LATITUDE,33 Jalan Mutiara  #12-04 ,257,Strata,13-Sep-2017,Condominium,Freehold,2010,Resale,10,24,249208,Central Region,Tanglin,2017-9,1.29612021052,103.828114664,12.0,4.0,4165906.5
4298,26 NEWTON,26 Newton Road  #22-08 ,44,Strata,13-Sep-2017,Apartment,Freehold,2016,Resale,11,30,307957,Central Region,Novena,2017-9,1.3157056045,103.841661154,22.0,8.0,785521.4
4299,SELEGIE CENTRE,189 Selegie Road  #09-03 ,81,Strata,13-Sep-2017,Apartment,Freehold,1985,Resale,7,18,188332,Central Region,Rochor,2017-9,1.30408566079,103.850014183,9.0,3.0,1052155.8
4300,THE VUE,355 Upper Paya Lebar Road  #03-02 ,39,Strata,13-Sep-2017,Apartment,Freehold,2013,Resale,19,53,534958,North East Region,Serangoon,2017-9,1.34677418951,103.87996608200001,3.0,2.0,600765.0
4301,WEST COAST GARDENS,83 West Coast Green ,354,Land,13-Sep-2017,Terrace House,956 Yrs From 27/05/1928,1976,Resale,5,12,127936,West Region,Clementi,2017-9,1.3155578727700001,103.865898554,,,2932244.0
4302,THE FLORAVALE,230 Westwood Avenue  #11-26 ,123,Strata,13-Sep-2017,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,22,64,648359,West Region,Jurong West,2017-9,1.35101586955,103.695608812,11.0,26.0,1135623.0
4303,THE EQUATORIAL,151 Stevens Road  #09-04 ,131,Strata,13-Sep-2017,Condominium,Freehold,2001,Resale,10,25,257872,Central Region,Tanglin,2017-9,1.32030517538,103.82480838200001,9.0,4.0,1735344.8
4304,CHARLTON VILLAS,25F Charlton Lane ,258,Strata,13-Sep-2017,Terrace House,Freehold,2010,Resale,19,53,534155,North East Region,Hougang,2017-9,1.35651731128,103.88179014,,,1543841.1
4305,THE SUITES AT CENTRAL,57A Devonshire Road  #05-01 ,146,Strata,13-Sep-2017,Condominium,Freehold,2009,Resale,9,23,239897,Central Region,River Valley,2017-9,1.2982993892,103.83673082899999,5.0,1.0,2151238.2
4306,N.A.,59 Duku Road ,212,Land,13-Sep-2017,Terrace House,Freehold,1956,Resale,15,42,429215,Central Region,Marine Parade,2017-9,1.3099179897700002,103.905374883,,,2129566.2
4307,DAKOTA RESIDENCES,36 Dakota Crescent  #06-07 ,170,Strata,13-Sep-2017,Condominium,99 Yrs From 11/09/2007,2010,Resale,14,39,399937,Central Region,Geylang,2017-9,1.30635916365,103.887058006,6.0,7.0,1477943.0
4308,ORCHID PARK CONDOMINIUM,93 Yishun Street 81  #05-04 ,116,Strata,12-Sep-2017,Condominium,99 Yrs From 01/09/1991,1994,Resale,27,76,768451,North Region,Yishun,2017-9,1.4123516151700002,103.83506916,5.0,4.0,927297.6
4309,STRATFORD COURT,41A Bedok Ria Crescent  #01-67 ,180,Strata,12-Sep-2017,Condominium,99 Yrs From 23/06/1995,1998,Resale,16,48,489929,East Region,Bedok,2017-9,1.32847324284,103.95135621799999,1.0,67.0,1056906.5
4310,N.A.,97 Bukit Teresa Road ,178,Land,12-Sep-2017,Terrace House,Freehold,1995,Resale,4,9,99740,Central Region,Bukit Merah,2017-9,1.27538813506,103.82523064700001,,,2023422.8
4311,SPRINGLEAF GARDEN,36 Springleaf Crescent ,341,Land,12-Sep-2017,Semi-Detached House,Freehold,1990,Resale,26,78,788350,North Region,Yishun,2017-9,1.40008483562,103.825273792,,,1636165.4
4312,THE DAIRY FARM,3 Dairy Farm Road  #03-07 ,108,Strata,12-Sep-2017,Condominium,Freehold,1988,Resale,23,67,679035,West Region,Bukit Panjang,2017-9,1.36392756294,103.768844538,3.0,7.0,786520.9
4313,RESIDENCES @ JANSEN,29 Jansen Road  #03-03 ,57,Strata,12-Sep-2017,Apartment,999 Yrs From 01/09/1876,2008,Resale,19,54,548432,North East Region,Hougang,2017-9,1.3600010971899998,103.87637743299999,3.0,3.0,720030.44
4314,ORCHARD COURT,27 Oxley Road  #13-05 ,135,Strata,12-Sep-2017,Apartment,99 Yrs From 01/07/1973,Unknown,Resale,9,23,238621,Central Region,River Valley,2017-9,1.29841680126,103.841404464,13.0,5.0,2382763.5
4315,BELLE VUE RESIDENCES,25 Oxley Walk  #01-22 ,227,Strata,12-Sep-2017,Condominium,Freehold,2010,Resale,9,23,238595,Central Region,River Valley,2017-9,1.29536391575,103.842324751,1.0,22.0,3166265.8
4316,THE TROPICA,53 Tampines Avenue 1  #07-01 ,115,Strata,12-Sep-2017,Condominium,99 Yrs From 04/12/1996,2000,Resale,18,52,529772,East Region,Tampines,2017-9,1.34822838393,103.928107971,7.0,1.0,1076019.9
4317,EAST MEADOWS,30 Tanah Merah Kechil Road  #03-10 ,115,Strata,12-Sep-2017,Condominium,99 Yrs From 02/03/1998,2001,Resale,16,46,465558,East Region,Bedok,2017-9,1.32813068403,103.944470049,3.0,10.0,1022368.1
4318,PEBBLE BAY,136 Tanjong Rhu Road  #04-08 ,261,Strata,12-Sep-2017,Condominium,99 Yrs From 09/03/1994,1997,Resale,15,43,436921,Central Region,Kallang,2017-9,1.29805107015,103.87092778700001,4.0,8.0,3687401.8
4319,WATER PLACE,177 Tanjong Rhu Road  #14-18 ,145,Strata,12-Sep-2017,Condominium,99 Yrs From 02/03/1998,2004,Resale,15,43,436607,Central Region,Kallang,2017-9,1.29599271105,103.8725791,14.0,18.0,1948751.0
4320,EASTERN LAGOON,206 Upper East Coast Road  #03-02 ,67,Strata,12-Sep-2017,Condominium,Freehold,1985,Resale,15,45,455286,East Region,Bedok,2017-9,1.31248466255,103.933175371,3.0,2.0,1022057.1
4321,REGENT GROVE,52 Choa Chu Kang North 7  #10-28 ,109,Strata,12-Sep-2017,Condominium,99 Yrs From 17/05/1997,2000,Resale,23,68,689528,West Region,Choa Chu Kang,2017-9,1.3989173853999999,103.749086603,10.0,28.0,831025.5
4322,ASTORIA PARK,28 Lorong Mydin  #01-04 ,87,Strata,12-Sep-2017,Condominium,99 Yrs From 01/05/1993,1995,Resale,14,41,416883,East Region,Bedok,2017-9,1.32106021122,103.911737344,1.0,4.0,823921.1
4323,SEASIDE PARK,10 Jalan Buloh Perindu ,168,Land,12-Sep-2017,Terrace House,Freehold,Unknown,Resale,15,45,457669,East Region,Bedok,2017-9,1.30892228704,103.921105695,,,2090963.9
4324,N.A.,19 Jalan Emas Urai ,378,Land,12-Sep-2017,Semi-Detached House,999 Yrs From 25/09/1882,1967,Resale,23,67,678712,West Region,Bukit Panjang,2017-9,1.36842944581,103.865898554,,,2632426.8
4325,HILLBROOKS,88 Hillview Avenue  #06-04 ,99,Strata,12-Sep-2017,Condominium,Freehold,1999,Resale,23,66,669590,West Region,Bukit Batok,2017-9,1.35885969644,103.762767645,6.0,4.0,652171.8
4326,PASADENA,2A Derbyshire Road  #17-01 ,129,Strata,12-Sep-2017,Apartment,Freehold,2002,Resale,11,30,309470,Central Region,Novena,2017-9,1.31525123608,103.845449199,17.0,1.0,1757504.0
4327,ST MICHAEL'S PLACE,1 Jalan Taman  #11-02 ,114,Strata,12-Sep-2017,Apartment,Freehold,1997,Resale,12,32,329022,Central Region,Kallang,2017-9,1.32506543311,103.86516625,11.0,2.0,1370002.9
4328,IMPERIAL HEIGHTS,16 Ipoh Lane  #06-04 ,42,Strata,12-Sep-2017,Apartment,Freehold,2009,Resale,15,43,438620,Central Region,Geylang,2017-9,1.31145804361,103.895170139,6.0,4.0,633633.3
4329,ONE JERVOIS,11 Jervois Close  #09-20 ,120,Strata,12-Sep-2017,Condominium,Freehold,2009,Resale,10,24,249107,Central Region,Tanglin,2017-9,1.29233719751,103.824614732,9.0,20.0,1583213.6
4330,JERVOIS JADE APARTMENTS,21 Jervois Close  #06-02 ,106,Strata,12-Sep-2017,Apartment,99 Yrs From 09/04/1998,2000,Resale,10,24,249114,Central Region,Tanglin,2017-9,1.29245793227,103.82523052100001,6.0,2.0,1383692.5
4331,THE TRILLIUM,112 Kim Seng Road  #03-03 ,130,Strata,12-Sep-2017,Condominium,Freehold,2010,Resale,9,23,239432,Central Region,Singapore River,2017-9,1.29366745187,103.83310185100001,3.0,3.0,1674823.8
4332,SELETAR HILLS ESTATE,45 Kasai Road ,267,Land,12-Sep-2017,Terrace House,999 Yrs From 01/01/1879,Unknown,Resale,28,80,808292,North East Region,Serangoon,2017-9,1.3863516412999999,103.865006735,,,2921206.8
4333,N.A.,5 Sandilands Road ,387,Land,12-Sep-2017,Terrace House,999 Yrs From 01/01/1886,1989,Resale,19,54,546068,North East Region,Hougang,2017-9,1.36175248611,103.865898554,,,2743026.2
4334,THE LINEAR,896 Upper Bukit Timah Road  #02-30 ,116,Strata,12-Sep-2017,Apartment,999 Yrs From 02/10/1876,2006,Resale,23,67,678189,West Region,Bukit Panjang,2017-9,1.3752521885100002,103.762883784,2.0,30.0,777644.0
4335,N.A.,8 Pillai Road ,96,Strata,12-Sep-2017,Apartment,9999 Yrs From 14/10/1995,Unknown,Resale,19,53,535890,North East Region,Serangoon,2017-9,1.34750586081,103.879730682,,,999913.1
4336,CAVENDISH PARK,16 Pine Grove  #11-02 ,114,Strata,12-Sep-2017,Condominium,99 Yrs From 18/11/1991,1996,Resale,21,59,597593,Central Region,Bukit Timah,2017-9,1.3169358341600002,103.774953791,11.0,2.0,1059997.0
4337,THE ROCHESTER,33 Rochester Drive  #14-06 ,121,Strata,12-Sep-2017,Apartment,99 Yrs From 02/02/2005,2011,Resale,5,13,138638,Central Region,Queenstown,2017-9,1.30526564423,103.788405176,14.0,6.0,1722789.2
4338,BEDOK COURT,295 Bedok South Avenue 3  #04-05 ,161,Strata,12-Sep-2017,Condominium,99 Yrs From 10/04/1982,1985,Resale,16,46,469296,East Region,Bedok,2017-9,1.3223007319700002,103.944952572,4.0,5.0,936211.9
4339,BEDOK COURT,295 Bedok South Avenue 3  #10-04 ,109,Strata,12-Sep-2017,Condominium,99 Yrs From 10/04/1982,1985,Resale,16,46,469296,East Region,Bedok,2017-9,1.3223007319700002,103.944952572,10.0,4.0,723565.75
4340,SKY HABITAT,9 Bishan Street 15  #20-12 ,159,Strata,12-Sep-2017,Condominium,99 Yrs From 30/05/2011,2015,Resale,20,57,573909,Central Region,Bishan,2017-9,1.35199068408,103.85203751,20.0,12.0,1531585.8
4341,CAIRNHILL CREST,2 Cairnhill Circle  #08-04 ,161,Strata,12-Sep-2017,Condominium,Freehold,2004,Resale,9,22,229811,Central Region,Newton,2017-9,1.3055915605500001,103.8381224,8.0,4.0,2291881.8
4342,N.A.,46A Jalan Haji Alias ,338,Land,12-Sep-2017,Semi-Detached House,Freehold,1989,Resale,10,26,268540,Central Region,Bukit Timah,2017-9,1.3236034685200002,103.865898554,,,3679830.0
4343,N.A.,14 Paya Lebar Street ,269,Land,12-Sep-2017,Terrace House,Freehold,1958,Resale,19,53,535975,Central Region,Toa Payoh,2017-9,1.33896968685,103.88502022799999,,,2299041.5
4344,BEDOK RESIDENCES,28 Bedok North Drive  #11-42 ,56,Strata,12-Sep-2017,Apartment,99 Yrs From 21/11/2011,2015,Resale,16,46,465500,East Region,Bedok,2017-9,1.32435037657,103.92914193799999,11.0,42.0,716436.3
4345,HILLVIEW GREEN,67 Hume Avenue  #09-05 ,123,Strata,12-Sep-2017,Condominium,999 Yrs From 19/05/1883,1998,Resale,21,59,598744,West Region,Bukit Batok,2017-9,1.35727494987,103.76444277,9.0,5.0,1447608.8
4346,NORTHVALE,63 Choa Chu Kang Loop  #02-04 ,101,Strata,12-Sep-2017,Apartment,99 Yrs From 01/03/1995,1998,Resale,23,68,689669,West Region,Choa Chu Kang,2017-9,1.38722276246,103.74476878700001,2.0,4.0,817611.2
4347,THE SAIL @ MARINA BAY,6 Marina Boulevard  #13-18 ,153,Strata,12-Sep-2017,Apartment,99 Yrs From 12/08/2002,2008,Resale,1,1,18985,Central Region,Downtown Core,2017-9,1.28087139356,103.852592953,13.0,18.0,1956668.0
4348,HUNDRED TREES,87 West Coast Drive  #12-16 ,108,Strata,12-Sep-2017,Condominium,956 Yrs From 27/05/1928,2013,Resale,5,12,128015,West Region,Clementi,2017-9,1.3149045233,103.75880499700001,12.0,16.0,1208483.8
4349,STUDIOS @ MARNE,2 Marne Road  #04-10 ,52,Strata,12-Sep-2017,Apartment,Freehold,2010,Resale,8,20,208393,Central Region,Kallang,2017-9,1.31291744063,103.856916737,4.0,10.0,804890.56
4350,DOVER PARKVIEW,32 Dover Rise  #06-10 ,90,Strata,12-Sep-2017,Condominium,99 Yrs From 01/12/1993,1997,Resale,5,13,138686,Central Region,Queenstown,2017-9,1.3061144207700002,103.78334559700001,6.0,10.0,1095467.6
4351,THE CALROSE,519 Yio Chu Kang Road  #01-82 ,132,Strata,12-Sep-2017,Condominium,Freehold,2007,Resale,26,78,787085,North East Region,Ang Mo Kio,2017-9,1.3816255822,103.83622223299999,1.0,82.0,1065963.9
4352,THE ESTUARY,91 Yishun Avenue 1  #07-13 ,86,Strata,12-Sep-2017,Condominium,99 Yrs From 25/06/2008,2013,Resale,27,76,769135,North Region,Yishun,2017-9,1.41069425019,103.831079177,7.0,13.0,672020.94
4353,PARC OLYMPIA,60 Flora Drive  #04-37 ,153,Strata,12-Sep-2017,Condominium,99 Yrs From 25/01/2012,2015,Resale,17,50,506858,East Region,Pasir Ris,2017-9,1.3554219611700002,103.96477757299999,4.0,37.0,1031560.4
4354,ALESSANDREA,31 Alexandra Road  #04-04 ,102,Strata,12-Sep-2017,Apartment,Freehold,2003,Resale,3,15,159967,Central Region,Bukit Merah,2017-9,1.29051243462,103.822578095,4.0,4.0,1167273.4
4355,THE ARTE,23 Jalan Raja Udang  #14-08 ,174,Strata,12-Sep-2017,Condominium,Freehold,2010,Resale,12,32,329216,Central Region,Novena,2017-9,1.3283564513200001,103.842383221,14.0,8.0,1801277.6
4356,SKYSUITES@ANSON,8 Enggor Street  #41-07 ,62,Strata,11-Sep-2017,Apartment,99 Yrs From 18/02/2008,2014,Resale,2,7,79718,Central Region,Downtown Core,2017-9,1.27464403809,103.844742451,41.0,7.0,1048308.8
4357,HUNDRED TREES,81 West Coast Drive  #10-01 ,137,Strata,11-Sep-2017,Condominium,956 Yrs From 27/05/1928,2013,Resale,5,12,127997,West Region,Clementi,2017-9,1.31555491482,103.75814968600001,10.0,1.0,1025209.94
4358,THE WOODGROVE,3 Woodgrove Drive  #06-05 ,81,Strata,11-Sep-2017,Apartment,99 Yrs From 26/06/1996,1998,Resale,25,73,738230,North Region,Woodlands,2017-9,1.4288209135799999,103.781488759,6.0,5.0,762573.5
4359,THE HILLSIDE,343 Upper Bukit Timah Road  #08-03 ,142,Strata,11-Sep-2017,Condominium,Freehold,2001,Resale,21,58,588196,West Region,Bukit Batok,2017-9,1.35197456462,103.76703317200001,8.0,3.0,1389710.0
4360,THE INTERLACE,186 Depot Road  #19-13 ,331,Strata,11-Sep-2017,Condominium,99 Yrs From 11/02/2009,2013,Resale,4,10,109687,Central Region,Bukit Merah,2017-9,1.28257025677,103.80259485799999,19.0,13.0,1616170.8
4361,GRAMERCY PARK,57 Grange Road  #03-09 ,241,Strata,11-Sep-2017,Condominium,Freehold,2016,Resale,10,24,249569,Central Region,Tanglin,2017-9,1.2983710257899999,103.82642846,3.0,9.0,3770209.2
4362,GRAMERCY PARK,57 Grange Road  #04-01 ,244,Strata,11-Sep-2017,Condominium,Freehold,2016,Resale,10,24,249569,Central Region,Tanglin,2017-9,1.2983710257899999,103.82642846,4.0,1.0,3640498.0
4363,GRAMERCY PARK,57 Grange Road  #07-09 ,250,Strata,11-Sep-2017,Condominium,Freehold,2016,Resale,10,24,249569,Central Region,Tanglin,2017-9,1.2983710257899999,103.82642846,7.0,9.0,3906467.2
4364,THE SEA VIEW,33 Amber Road  #18-12 ,131,Strata,11-Sep-2017,Condominium,Freehold,2008,Resale,15,43,439944,Central Region,Marine Parade,2017-9,1.3017698492299998,103.902863209,18.0,12.0,1157078.2
4365,THE ANCHORAGE,370D Alexandra Road  #11-06 ,115,Strata,11-Sep-2017,Condominium,Freehold,1997,Resale,3,15,159957,Central Region,Queenstown,2017-9,1.29036933203,103.80458531299999,11.0,6.0,962586.3
4366,D' ALMIRA,35 Sommerville Road  #01-05 ,143,Strata,11-Sep-2017,Apartment,Freehold,2011,Resale,13,35,358265,North East Region,Serangoon,2017-9,1.34468457761,103.867905577,1.0,5.0,1235887.9
4367,CITY REGENCY,18 St. Michael'S Road  #06-03 ,92,Strata,11-Sep-2017,Apartment,Freehold,2009,Resale,12,32,327977,Central Region,Kallang,2017-9,1.32637680556,103.863838545,6.0,3.0,1320835.6
4368,CLEMENTI PARK,137 Sunset Way  #05-01 ,75,Strata,11-Sep-2017,Condominium,Freehold,1986,Resale,21,59,597159,West Region,Clementi,2017-9,1.33080236531,103.766015885,5.0,1.0,743158.8
4369,NOVELIS,75 Sinaran Drive  #10-01 ,49,Strata,11-Sep-2017,Apartment,Freehold,2008,Resale,11,30,308322,Central Region,Novena,2017-9,1.31883029396,103.846092199,10.0,1.0,1498822.1
4370,NOVELIS,75 Sinaran Drive  #10-02 ,75,Strata,11-Sep-2017,Apartment,Freehold,2008,Resale,11,30,308322,Central Region,Novena,2017-9,1.31883029396,103.846092199,10.0,2.0,1776974.5
4371,PALM HAVEN,18 Palm Grove Avenue  #04-10 ,198,Strata,11-Sep-2017,Condominium,999 Yrs From 01/09/1876,2002,Resale,19,54,547312,North East Region,Hougang,2017-9,1.36056329794,103.877711851,4.0,10.0,1747778.1
4372,PALM GREEN,481 Pasir Panjang Road  #04-10 ,117,Strata,11-Sep-2017,Apartment,Freehold,1999,Resale,5,11,117621,Central Region,Queenstown,2017-9,1.2911044790700001,103.76944894200001,4.0,10.0,1291199.2
4373,NIN RESIDENCE,85 Pheng Geck Avenue  #03-11 ,119,Strata,11-Sep-2017,Apartment,99 Yrs From 13/09/2010,2014,Resale,13,34,348271,Central Region,Toa Payoh,2017-9,1.3325685056899998,103.87005795299999,3.0,11.0,1075088.0
4374,HILLSTA,66 Phoenix Road  #09-02 ,53,Strata,11-Sep-2017,Condominium,99 Yrs From 03/10/2011,2016,Resale,23,66,668201,West Region,Bukit Batok,2017-9,1.3765079166799998,103.75615976600001,9.0,2.0,589015.7
4375,ROSEWOOD,11 Rosewood Drive  #09-21 ,109,Strata,11-Sep-2017,Condominium,99 Yrs From 20/06/2000,2003,Resale,25,73,737939,North Region,Woodlands,2017-9,1.43146713166,103.78676522200001,9.0,21.0,962665.6
4376,R MAISON,1 Sommerville Walk  #04-10 ,62,Strata,11-Sep-2017,Apartment,Freehold,2016,Resale,13,35,357699,North East Region,Serangoon,2017-9,1.344017,103.870162,4.0,10.0,619270.94
4377,THE SPRINGSIDE,74 Springside View ,165,Land,11-Sep-2017,Terrace House,Freehold,2016,Resale,26,78,786125,North Region,Yishun,2017-9,1.40625936889,103.865898554,,,1687015.0
4378,N.A.,5 Sunset Grove ,673,Land,11-Sep-2017,Detached House,Freehold,Unknown,Resale,21,59,597445,West Region,Clementi,2017-9,1.3251825607799999,103.865898554,,,7686261.5
4379,HAPPY ESTATE,15 Thomson View ,366,Land,11-Sep-2017,Semi-Detached House,Freehold,1984,Resale,20,57,574514,North East Region,Ang Mo Kio,2017-9,1.37634377419,103.865898554,,,2661579.0
4380,N.A.,47 Trevose Crescent ,717,Land,11-Sep-2017,Semi-Detached House,Freehold,Unknown,Resale,11,29,298055,Central Region,Novena,2017-9,1.3257648552799999,103.865898554,,,7433595.5
4381,BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #07-02 ,174,Strata,11-Sep-2017,Apartment,99 Yrs From 18/09/1979,Unknown,Resale,21,58,588177,Central Region,Bukit Timah,2017-9,1.34241264086,103.776539384,7.0,2.0,1521164.0
4382,CHANGI COURT,700 Upper Changi Road East  #04-12 ,78,Strata,11-Sep-2017,Condominium,Freehold,1997,Resale,16,48,486830,East Region,Tampines,2017-9,1.34345987198,103.963605622,4.0,12.0,632994.9
4383,RIO VISTA,18 Upper Serangoon View  #04-14 ,116,Strata,11-Sep-2017,Condominium,99 Yrs From 02/01/2001,2004,Resale,19,53,534202,North East Region,Hougang,2017-9,1.37227252257,103.90147334299999,4.0,14.0,826335.1
4384,THE METROPOLITAN CONDOMINIUM,8 Alexandra View  #30-07 ,130,Strata,11-Sep-2017,Condominium,99 Yrs From 17/02/2006,2009,Resale,3,15,158747,Central Region,Bukit Merah,2017-9,1.29047734229,103.81601645100001,30.0,7.0,1536328.0
4385,ONE AMBER,1 Amber Gardens  #05-05 ,89,Strata,11-Sep-2017,Condominium,Freehold,2010,Resale,15,43,439957,Central Region,Marine Parade,2017-9,1.3020057383799999,103.898340946,5.0,5.0,1153554.4
4386,AUSTVILLE RESIDENCES,11 Sengkang East Avenue  #06-01 ,96,Strata,11-Sep-2017,Executive Condominium,99 Yrs From 24/08/2010,2014,Resale,19,54,544804,North East Region,Sengkang,2017-9,1.3809709993200001,103.900835054,6.0,1.0,713331.3
4387,THE ESTA,33 Amber Gardens  #11-07 ,125,Strata,11-Sep-2017,Condominium,Freehold,2008,Resale,15,43,439968,Central Region,Marine Parade,2017-9,1.30196373177,103.900019499,11.0,7.0,1285801.4
4388,SUITES @ AMBER,30 Amber Road  #11-02 ,59,Strata,11-Sep-2017,Apartment,Freehold,2010,Resale,15,43,439874,Central Region,Marine Parade,2017-9,1.3002894356,103.90007748299999,11.0,2.0,860959.4
4389,AALTO,193 Meyer Road  #14-08 ,227,Strata,11-Sep-2017,Condominium,Freehold,2010,Resale,15,43,437981,Central Region,Marine Parade,2017-9,1.29813176293,103.89746863,14.0,8.0,2665371.2
4390,THE PIER AT ROBERTSON,80 Mohamed Sultan Road  #04-02 ,61,Strata,11-Sep-2017,Apartment,Freehold,2006,Resale,9,23,239013,Central Region,Singapore River,2017-9,1.2914177978,103.84055312299999,4.0,2.0,1096094.2
4391,THREE BALMORAL,3 Balmoral Road  #05-04 ,143,Strata,11-Sep-2017,Apartment,Freehold,2016,Resale,10,25,259785,Central Region,Tanglin,2017-9,1.31391201747,103.830467076,5.0,4.0,1874731.5
4392,THE SEA VIEW,39 Amber Road  #17-26 ,153,Strata,11-Sep-2017,Condominium,Freehold,2008,Resale,15,43,439947,Central Region,Marine Parade,2017-9,1.30189208589,103.901444293,17.0,26.0,1476225.2
4393,BALESTIER PLAZA,400 Balestier Road  #07-04 ,93,Strata,11-Sep-2017,Apartment,Freehold,1983,Resale,12,32,329802,Central Region,Novena,2017-9,1.32572405926,103.850395041,7.0,4.0,1085582.2
4394,RIVER ISLES,66 Edgedale Plains  #04-31 ,137,Strata,11-Sep-2017,Condominium,99 Yrs From 06/02/2012,2015,Resale,19,82,828732,North East Region,Punggol,2017-9,1.39685286947,103.912984065,4.0,31.0,1166666.8
4395,HORIZON TOWERS,15 Leonie Hill Road  #04-02 ,214,Strata,11-Sep-2017,Condominium,99 Yrs From 17/08/1979,1984,Resale,9,23,239194,Central Region,River Valley,2017-9,1.2982906734200002,103.83337765,4.0,2.0,3410544.0
4396,WHARTON VALE,68 Sophia Road  #08-02 ,185,Strata,11-Sep-2017,Apartment,Freehold,2001,Resale,9,22,228187,Central Region,Rochor,2017-9,1.3019794603100001,103.848314822,8.0,2.0,2246985.0
4397,THE DAFFODIL,568 Upper East Coast Road  #03-05 ,93,Strata,11-Sep-2017,Apartment,Freehold,1998,Resale,16,46,466584,East Region,Bedok,2017-9,1.31603568893,103.945674466,3.0,5.0,1060024.0
4398,BOATHOUSE RESIDENCES,33 Upper Serangoon View  #02-29 ,85,Strata,11-Sep-2017,Condominium,99 Yrs From 09/02/2011,2015,Resale,19,53,534042,North East Region,Hougang,2017-9,1.3755841651299998,103.903320331,2.0,29.0,689612.8
4399,GOLDLEAF GARDENS,4 Kurau Place ,150,Land,11-Sep-2017,Terrace House,Freehold,1991,Resale,15,42,426830,East Region,Bedok,2017-9,1.3116039430500002,103.91470215,,,1197251.5
4400,BULLION PARK,166 Lentor Loop  #12-01 ,117,Strata,11-Sep-2017,Condominium,Freehold,1993,Resale,26,78,789097,North East Region,Ang Mo Kio,2017-9,1.39130491075,103.83593266,12.0,1.0,685119.9
